Onset,Annotation
+231.1050000,QRS
+231.5730000,QRS
+232.0470000,QRS
+232.5140000,QRS
+232.9840000,QRS
+233.4550000,QRS
+233.9250000,QRS
+234.3970000,QRS
+234.8700000,QRS
+235.3420000,QRS
+235.8170000,QRS
+236.2940000,QRS
+236.7640000,QRS
+237.2330000,QRS
+237.7070000,QRS
+238.1770000,QRS
+238.6510000,QRS
+239.1220000,QRS
+239.5970000,QRS
+240.0770000,QRS
+240.5630000,QRS
+241.0390000,QRS
+241.5160000,QRS
+241.9920000,QRS
+242.4670000,QRS
+242.9450000,QRS
+243.4250000,QRS
+243.9030000,QRS
+244.3840000,QRS
+244.8620000,QRS
+245.3400000,QRS
+245.8200000,QRS
+246.2970000,QRS
+246.7740000,QRS
+247.2530000,QRS
+247.7290000,QRS
+248.2030000,QRS
+248.6730000,QRS
+249.1430000,QRS
+249.6130000,QRS
+250.0810000,QRS
+250.5550000,QRS
+251.0290000,QRS
+251.5010000,QRS
+251.9740000,QRS
+252.4500000,QRS
+252.9260000,QRS
+253.3950000,QRS
+253.8690000,QRS
+254.3400000,QRS
+254.8140000,QRS
+255.2880000,QRS
+255.7650000,QRS
+256.2460000,QRS
+256.7230000,QRS
+257.1990000,QRS
+257.6760000,QRS
+258.1550000,QRS
+258.6340000,QRS
+259.1120000,QRS
+259.5900000,QRS
+260.0670000,QRS
+260.5470000,QRS
+261.0230000,QRS
+261.5050000,QRS
+261.9830000,QRS
+262.4590000,QRS
+262.9350000,QRS
+263.4140000,QRS
+263.8860000,QRS
+264.3620000,QRS
+264.8400000,QRS
+265.3170000,QRS
+265.7940000,QRS
+266.2750000,QRS
+266.7620000,QRS
+267.2520000,QRS
+267.7370000,QRS
+268.2250000,QRS
+268.7080000,QRS
+269.1930000,QRS
+269.6730000,QRS
+270.1560000,QRS
+270.6340000,QRS
+271.1140000,QRS
+271.5890000,QRS
+272.0680000,QRS
+272.5510000,QRS
+273.0300000,QRS
+273.5150000,QRS
+273.9990000,QRS
+274.4880000,QRS
+274.9690000,QRS
+275.4500000,QRS
+275.9260000,QRS
+276.4010000,QRS
+276.8760000,QRS
+277.3480000,QRS
+277.8240000,QRS
+278.2980000,QRS
+278.7750000,QRS
+279.2550000,QRS
+279.7360000,QRS
+280.2190000,QRS
+280.7020000,QRS
+281.1850000,QRS
+281.6700000,QRS
+282.1550000,QRS
+282.6360000,QRS
+283.1160000,QRS
+283.5940000,QRS
+284.0710000,QRS
+284.5460000,QRS
+285.0220000,QRS
+285.4980000,QRS
+285.9730000,QRS
+286.4470000,QRS
+286.9230000,QRS
+287.4000000,QRS
+287.8750000,QRS
+288.3570000,QRS
+288.8350000,QRS
+289.3190000,QRS
+289.8050000,QRS
+290.2920000,QRS
+290.7760000,QRS
+291.2610000,QRS
+291.7450000,QRS
+292.2260000,QRS
+292.7060000,QRS
+293.1840000,QRS
+293.6600000,QRS
+294.1360000,QRS
+294.6090000,QRS
+295.0900000,QRS
+295.5690000,QRS
+296.0450000,QRS
+296.5270000,QRS
+297.0080000,QRS
+297.4940000,QRS
+297.9800000,QRS
+298.4690000,QRS
+298.9540000,QRS
+299.4350000,QRS
+299.9190000,QRS
